1 1 2 9 34
31 22 19 48 208
9 7 4 29 74
109 104 90 249 1446
0 0 0 0 0
2 3 11 33 137
7 8 25 54 199
2 2 5 4 2
0 0 0 0 0
19 24 51 103 274
13 19 22 46 114
2 0 2 4 13
2 0 3 11 43
9 7 16 35 164
6 3 7 17 61
6 12 6 40 130
4 4 6 20 45
12 8 20 47 200
89 87 117 283 976
5 4 13 13 32
3 1 4 6 32
0 0 0 0 0
11 13 12 45 112
4 1 4 10 55
3 2 3 32 97
0 0 0 0 0
7 6 12 45 120
26 25 28 64 167
3 4 5 30 75
5 5 10 43 313
9 6 12 43 232
6 4 20 35 158
